店舗CD,PLUコード,商品名称,メーカーコード,メーカー名,品番,カラー,サイズ,ターゲットコード,ターゲット,アイテムコード,アイテム,部門コード,部門,中分類コード,中分類,大分類コード,大分類名,属性,規格,原価,売価,2025/3/19 PM5:05時点の最終原価単価,数量,2025/3/19 PM5:05時点の最終原価金額,受託数量,2025/3/19 PM5:05時点の最終原価金額,最終仕入日,初回仕入日,最終売上日
00130,4520288235971,P427C500,0000073,ﾀﾊﾟｯｸ,P427C500,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10800,19800,10800,0,0,1,10800,2024/08/09,2024/08/09,
00130,4520288235964,P427C930,0000073,ﾀﾊﾟｯｸ,P427C930,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10800,0,10800,0,0,1,10800,2024/08/09,2024/08/09,
00130,4520288237951,P429D674,0000073,ﾀﾊﾟｯｸ,P429D674,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,0,27500,0,0,0,1,0,2024/08/09,2024/08/09,
00130,4580749771301,ST29P-PKC,0000096,ｳｴﾆ貿易,ST29P-PKC,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2024/04/09,2023/12/26,2024/04/04
00130,4580749771288,THN24P-PKC,0000096,ｳｴﾆ貿易,THN24P-PKC,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2023/12/26,2023/12/26,
00130,4580749783311,THN24PGC-N,0000096,ｳｴﾆ貿易,THN24PGC-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2025/01/29,2024/09/18,2025/01/25
00130,4580749786541,THN24SS-N,0000096,ｳｴﾆ貿易,THN24SS-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10000,22000,10000,1,10000,0,0,2025/02/21,2025/02/21,
00130,4580749798285,TT28PG,0000096,ｳｴﾆ貿易,TT28PG,2025/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11500,25300,11500,1,11500,0,0,2025/03/19,2025/03/19,
00130,4580749798278,TT28PS-BK,0000096,ｳｴﾆ貿易,TT28PS-BK,2025/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2025/03/19,2025/03/19,
00130,4580749798292,TT28SS,0000096,ｳｴﾆ貿易,TT28SS,2025/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2025/03/19,2025/03/19,
00130,4580749762484,TTN25P-PK,0000096,ｳｴﾆ貿易,TTN25P-PK,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,12000,26400,12000,1,12000,0,0,2023/10/11,2023/10/11,
00130,4580749775248,TTN26PG,0000096,ｳｴﾆ貿易,TTN26PG,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,11000,24200,11000,1,11000,0,0,2025/01/21,2024/02/21,2025/01/17
00130,4580749775255,TTN26SS,0000096,ｳｴﾆ貿易,TTN26SS,2402/SS,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,10500,23100,10500,1,10500,0,0,2024/09/18,2024/02/21,2024/09/13
00130,4580749781560,WLS21PGC-N,0000096,ｳｴﾆ貿易,WLS21PGC-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,13000,28600,13000,1,13000,0,0,2025/02/21,2025/02/21,
00130,4580749781577,WLS21SS-N,0000096,ｳｴﾆ貿易,WLS21SS-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,12500,27500,12500,1,12500,0,0,2025/02/21,2025/02/21,
00130,4580749783328,WLS29PGC-N,0000096,ｳｴﾆ貿易,WLS29PGC-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,12500,27500,12500,1,12500,0,0,2025/02/01,2024/11/19,
00130,4580749781492,WLS29SS-N,0000096,ｳｴﾆ貿易,WLS29SS-N,,,,,,,0110,ブランドＷ,0110,ブランドＷ,0003,時計,,,12000,26400,12000,1,12000,0,0,2025/02/21,2025/02/21,
00130,4549526370915,DW-H5600-1A2JR,0000060,ｶｼｵ計算機,DW-H5600-1A2JR,,BLE,,,,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,25200,44000,23940,1,23940,0,0,2024/03/06,2024/03/06,
00130,4549526347498,DW-H5600-1JR,0000060,ｶｼｵ計算機,DW-H5600-1JR,,BLE,,,0000,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,25200,44000,23940,1,23940,0,0,2023/05/17,2023/05/17,
00130,4549526347344,DW-H5600MB-1JR,0000060,ｶｼｵ計算機,DW-H5600MB-1JR,,BLE,,,,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,26460,46200,25200,1,25200,0,0,2024/06/24,2024/02/05,2024/06/23
00130,4549526370861,DW-H5600MB-8JR,0000060,ｶｼｵ計算機,DW-H5600MB-8JR,,BLE,,,,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,26460,46200,25200,1,25200,0,0,2024/03/06,2024/03/06,
00130,4549526268236,GBD-100-1JF,0000060,ｶｼｵ計算機,GBD-100-1JF,,BLE,,,,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,14490,25300,12600,1,12600,0,0,2023/04/18,2023/04/18,
00130,4549526306280,GBD-200-1JF,0000060,ｶｼｵ計算機,GBD-200-1JF,,BLE,,,,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,14490,25300,12600,1,12600,0,0,2022/07/05,2021/07/20,2023/10/01
00130,4549526380631,GBD-300-1JF,0000060,ｶｼｵ計算機,GBD-300-1JF,,BLE,,,,,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0115,ｳｪｱﾗﾌﾞﾙ･ｽﾏｰﾄW,0003,時計,,,14490,25300,14490,1,14490,0,0,2024/07/03,2024/07/03,
00130,4974375472365,AS1060-54A,0000003,ｼﾁｽﾞﾝ時計,AS1060-54A,ｼﾝﾌﾟﾙ電波/SS/SV,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,23200,44000,20300,1,20300,0,0,2024/05/31,2017/09/22,2024/05/26
00130,4974375471979,AS1060-54E,0000003,ｼﾁｽﾞﾝ時計,AS1060-54E,ｼﾝﾌﾟﾙ電波/SS/BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,23200,44000,20300,1,20300,0,0,2025/02/26,2017/09/22,2025/02/20
00130,4974375442344,AT8040-57E,0000003,ｼﾁｽﾞﾝ時計,AT8040-57E,1210/薄型電波/BK,2410価格改定,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,69600,132000,58000,1,58000,0,0,2022/04/01,2013/03/12,2022/03/30
00130,4974375494671,AT8185-62E,0000003,ｼﾁｽﾞﾝ時計,AT8185-62E,1911/Act/電波/allBK,2410価格改定,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,92800,176000,75400,1,75400,0,0,2021/11/23,2019/11/18,2021/11/20
00130,4974375469310,BJ6480-51B,0000003,ｼﾁｽﾞﾝ時計,BJ6480-51B,Ecoｼﾝﾌﾟﾙ3針/SS/SVBLﾛｰﾏﾝ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,16240,30800,14500,1,14500,0,0,2025/01/17,2017/01/31,2025/01/10
00130,4974375462694,BJ6482-04A,0000003,ｼﾁｽﾞﾝ時計,BJ6482-04A,Ecoｼﾝﾌﾟﾙ3針/PGD/SV/BRﾚｻﾞｰ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,15080,28600,13340,1,13340,0,0,2024/06/18,2015/11/20,2024/06/15
00130,4974375522855,BY1001-66E,0000003,ｼﾁｽﾞﾝ時計,BY1001-66E,2207/電波DFﾑｰﾝﾌｪｲｽﾞ/SPTi*BK,2410価格改定,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,78300,148500,78300,1,78300,0,0,2025/03/14,2023/07/15,2025/03/09
00130,4974375522879,BY1004-17X,0000003,ｼﾁｽﾞﾝ時計,BY1004-17X,2207/電波DFﾑｰﾝﾌｪｲｽﾞ/SPTi*PGD*BKﾚｻﾞｰ,2410価格改定,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,72500,137500,72500,1,72500,0,0,2023/07/15,2023/07/15,
00130,4974375522862,BY1006-62E,0000003,ｼﾁｽﾞﾝ時計,BY1006-62E,2207/電波DFﾑｰﾝﾌｪｲｽﾞ/BKTi*BK,2410価格改定,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,98600,187000,98600,1,98600,0,0,2023/10/06,2023/07/15,2023/09/24
00130,4974375526044,BY1009-64Y,0000003,ｼﾁｽﾞﾝ時計,BY1009-64Y,2403/Act/DFﾑｰﾝ/HAKUTO-R/GD,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,95700,181500,95700,1,95700,0,0,2024/02/23,2024/02/23,
00130,4974375529465,CB0261-53E,0000003,ｼﾁｽﾞﾝ時計,CB0261-53E,2503/電波/3針/SPTi/BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,34800,66000,34800,1,34800,0,0,2025/03/08,2025/03/08,
00130,4974375529472,CB0261-53L,0000003,ｼﾁｽﾞﾝ時計,CB0261-53L,2503/電波/3針/SPTi/BL,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,34800,66000,34800,1,34800,0,0,2025/03/08,2025/03/08,
00130,4974375520424,CB1120-50C,0000003,ｼﾁｽﾞﾝ時計,CB1120-50C,2206/3針ﾃﾞｲﾄ/WH*GD(12h6hﾛｰﾏﾝ),,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,34800,66000,34800,1,34800,0,0,2024/09/20,2024/09/20,
00130,4974375492455,CB1120-50E,0000003,ｼﾁｽﾞﾝ時計,CB1120-50E,3針ﾃﾞｲﾄ/38mm/Ti*BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,34800,66000,29000,1,29000,0,0,2023/08/09,2019/10/02,2023/08/03
00130,4974375492462,CB1120-50L,0000003,ｼﾁｽﾞﾝ時計,CB1120-50L,3針ﾃﾞｲﾄ/38mm/Ti*BL,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,34800,66000,29000,1,29000,0,0,2025/02/21,2019/10/02,2025/02/15
00130,4974375464308,CB3010-57E,0000003,ｼﾁｽﾞﾝ時計,CB3010-57E,3針ﾃﾞｲﾄ/40mm/Ti*BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,43500,82500,37700,1,37700,0,0,2022/12/09,2017/06/05,2022/12/05
00130,4974375464322,CB3010-57L,0000003,ｼﾁｽﾞﾝ時計,CB3010-57L,3針ﾃﾞｲﾄ/40mm/Ti*BL,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,43500,82500,43500,1,43500,0,0,2024/09/20,2024/09/20,
00130,4974375493544,CB5874-90E,0000003,ｼﾁｽﾞﾝ時計,CB5874-90E,電波WT/ｸﾛﾉ/SS*BK,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,31900,60500,29000,1,29000,0,0,2025/03/04,2020/11/14,2025/02/26
00130,4974375486645,EC1164-53W,0000003,ｼﾁｽﾞﾝ時計,EC1164-53W,18SS/HF/ｻｸﾗﾋﾟﾝｸ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,49300,93500,45240,1,45240,0,0,2024/04/23,2018/10/05,2024/04/18
00130,4974375486638,EC1165-51W,0000003,ｼﾁｽﾞﾝ時計,EC1165-51W,18SS/HF/ｻｸﾗｺﾝﾋﾞ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,49300,93500,45240,1,45240,0,0,2022/03/15,2018/10/05,2022/03/10
00130,4549526329777,ECB-2000YD-1AJF,0000060,ｶｼｵ計算機,ECB-2000YD-1AJF,,BLE,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,15900,33000,15900,1,15900,0,0,,,
00130,4549526329876,ECB-2000YPB-1AJF,0000060,ｶｼｵ計算機,ECB-2000YPB-1AJF,,BLE,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,17490,36300,17490,1,17490,0,0,2022/08/09,2022/08/09,2023/07/29
00130,4549526357961,ECB-2000YTP-1AJF,0000060,ｶｼｵ計算機,ECB-2000YTP-1AJF,,BLE,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,16960,35200,16960,1,16960,0,0,2023/06/07,2023/06/07,2023/07/17
00130,4549526359125,ECB-2200YP-1AJF,0000060,ｶｼｵ計算機,ECB-2200YP-1AJF,,BLE,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,14310,29700,14310,1,14310,0,0,2024/03/01,2024/03/01,
00130,4974375503878,EE1004-57A,0000003,ｼﾁｽﾞﾝ時計,EE1004-57A,21AW/ﾏｽｺﾐdaichi/ｻｸﾗﾋﾟﾝｸ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,51040,96800,48140,1,48140,0,0,2023/01/06,2021/10/08,2024/05/23
00130,4974375469334,EM0400-51B,0000003,ｼﾁｽﾞﾝ時計,EM0400-51B,Ecoｼﾝﾌﾟﾙ3針/SS/ﾛｰﾏﾝSVﾚﾃﾞｨｽ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,16240,30800,14500,1,14500,0,0,2023/07/28,2017/01/31,2023/07/24
00130,4974375462700,EM0402-05A,0000003,ｼﾁｽﾞﾝ時計,EM0402-05A,Ecoｼﾝﾌﾟﾙ3針/PG/ﾚｻﾞｰﾚﾃﾞｨｽ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,15080,28600,13340,1,13340,0,0,2023/07/28,2015/11/20,2023/07/24
00130,4974375470644,EM0404-51A,0000003,ｼﾁｽﾞﾝ時計,EM0404-51A,Ecoｼﾝﾌﾟﾙ3針/PGｺﾝﾋﾞ/ﾚﾃﾞｨｽ,,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,18560,35200,16240,1,16240,0,0,2022/03/25,2017/04/20,2020/12/30
00130,4549526148798,EQB-501XDB-1AJF,0000060,ｶｼｵ計算機,EQB-501XDB-1AJF,,BLE,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,22790,47300,22790,1,22790,0,0,2024/02/05,2017/09/11,2022/10/11
00130,4549526117626,EQW-T630JD-1AJF,0000060,ｶｼｵ計算機,EQW-T630JD-1AJF,,WC,,,,,0120,メーカーＷ,0120,メーカーＷ,0003,時計,,,20670,42900,20670,1,20670,0,0,2024/03/01,2016/04/21,2017/07/27
